iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
49,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
49,deriveECUKey_AES_GCM_128,5930,30,16,2,success
50,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
50,deriveECUKey_AES_GCM_128,6030,30,16,2,success
51,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
51,deriveECUKey_AES_GCM_128,6130,30,16,2,success
52,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
52,deriveECUKey_AES_GCM_128,6230,30,16,2,success
53,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
53,deriveECUKey_AES_GCM_128,6330,30,16,2,success
54,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
54,deriveECUKey_AES_GCM_128,6430,30,16,2,success
55,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
55,deriveECUKey_AES_GCM_128,6530,30,16,2,success
56,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
56,deriveECUKey_AES_GCM_128,6630,30,16,2,success
57,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
57,deriveECUKey_AES_GCM_128,6730,30,16,2,success
58,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
58,deriveECUKey_AES_GCM_128,6830,30,16,2,success
59,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
59,deriveECUKey_AES_GCM_128,6930,30,16,2,success
60,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
60,deriveECUKey_AES_GCM_128,7030,30,16,2,success
61,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
61,deriveECUKey_AES_GCM_128,7130,30,16,2,success
62,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
62,deriveECUKey_AES_GCM_128,7230,30,16,2,success
63,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
63,deriveECUKey_AES_GCM_128,7330,30,16,2,success
64,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
64,deriveECUKey_AES_GCM_128,7430,30,16,2,success
65,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
65,deriveECUKey_AES_GCM_128,7530,30,16,2,success
66,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
66,deriveECUKey_AES_GCM_128,7630,30,16,2,success
67,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
67,deriveECUKey_AES_GCM_128,7730,30,16,2,success
68,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
68,deriveECUKey_AES_GCM_128,7830,30,16,2,success
69,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
69,deriveECUKey_AES_GCM_128,7930,30,16,2,success
70,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
70,deriveECUKey_AES_GCM_128,8030,30,16,2,success
71,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
71,deriveECUKey_AES_GCM_128,8130,30,16,2,success
72,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
72,deriveECUKey_AES_GCM_128,8230,30,16,2,success
73,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
73,deriveECUKey_AES_GCM_128,8330,30,16,2,success
74,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
74,deriveECUKey_AES_GCM_128,8430,30,16,2,success
75,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
75,deriveECUKey_AES_GCM_128,8530,30,16,2,success
76,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
76,deriveECUKey_AES_GCM_128,8630,30,16,2,success
77,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
77,deriveECUKey_AES_GCM_128,8730,30,16,2,success
78,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
78,deriveECUKey_AES_GCM_128,8830,30,16,2,success
79,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
79,deriveECUKey_AES_GCM_128,8930,30,16,2,success
80,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
80,deriveECUKey_AES_GCM_128,9030,30,16,2,success
81,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
81,deriveECUKey_AES_GCM_128,9130,30,16,2,success
82,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
82,deriveECUKey_AES_GCM_128,9230,30,16,2,success
83,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
83,deriveECUKey_AES_GCM_128,9330,30,16,2,success
84,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
84,deriveECUKey_AES_GCM_128,9430,30,16,2,success
85,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
85,deriveECUKey_AES_GCM_128,9530,30,16,2,success
86,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
86,deriveECUKey_AES_GCM_128,9630,30,16,2,success
87,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
87,deriveECUKey_AES_GCM_128,9730,30,16,2,success
88,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
88,deriveECUKey_AES_GCM_128,9830,30,16,2,success
89,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
89,deriveECUKey_AES_GCM_128,9930,30,16,2,success
90,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
90,deriveECUKey_AES_GCM_128,10030,30,16,2,success
91,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
91,deriveECUKey_AES_GCM_128,10130,30,16,2,success
92,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
92,deriveECUKey_AES_GCM_128,10230,30,16,2,success
93,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
93,deriveECUKey_AES_GCM_128,10330,30,16,2,success
94,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
94,deriveECUKey_AES_GCM_128,10430,30,16,2,success
95,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
95,deriveECUKey_AES_GCM_128,10530,30,16,2,success
96,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
96,deriveECUKey_AES_GCM_128,10630,30,16,2,success
97,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
97,deriveECUKey_AES_GCM_128,10730,30,16,2,success
98,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
98,deriveECUKey_AES_GCM_128,10830,30,16,2,success
99,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
99,deriveECUKey_AES_GCM_128,10930,30,16,2,success
100,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
100,deriveECUKey_AES_GCM_128,11030,30,16,2,success
101,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
101,deriveECUKey_AES_GCM_128,11130,30,16,2,success
102,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
102,deriveECUKey_AES_GCM_128,11230,30,16,2,success
103,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
103,deriveECUKey_AES_GCM_128,11330,30,16,2,success
104,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
104,deriveECUKey_AES_GCM_128,11430,30,16,2,success
105,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
105,deriveECUKey_AES_GCM_128,11530,30,16,2,success
106,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
106,deriveECUKey_AES_GCM_128,11630,30,16,2,success
107,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
107,deriveECUKey_AES_GCM_128,11730,30,16,2,success
108,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
108,deriveECUKey_AES_GCM_128,11830,30,16,2,success
109,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
109,deriveECUKey_AES_GCM_128,11930,30,16,2,success
110,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
110,deriveECUKey_AES_GCM_128,12030,30,16,2,success
111,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
111,deriveECUKey_AES_GCM_128,12130,30,16,2,success
112,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
112,deriveECUKey_AES_GCM_128,12230,30,16,2,success
113,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
113,deriveECUKey_AES_GCM_128,12330,30,16,2,success
114,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
114,deriveECUKey_AES_GCM_128,12430,30,16,2,success
115,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
115,deriveECUKey_AES_GCM_128,12530,30,16,2,success
116,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
116,deriveECUKey_AES_GCM_128,12630,30,16,2,success
117,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
117,deriveECUKey_AES_GCM_128,12730,30,16,2,success
118,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
118,deriveECUKey_AES_GCM_128,12830,30,16,2,success
119,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
119,deriveECUKey_AES_GCM_128,12930,30,16,2,success
120,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
120,deriveECUKey_AES_GCM_128,13030,30,16,2,success
121,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
121,deriveECUKey_AES_GCM_128,13130,30,16,2,success
122,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
122,deriveECUKey_AES_GCM_128,13230,30,16,2,success
123,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
123,deriveECUKey_AES_GCM_128,13330,30,16,2,success
124,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
124,deriveECUKey_AES_GCM_128,13430,30,16,2,success
125,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
125,deriveECUKey_AES_GCM_128,13530,30,16,2,success
126,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
126,deriveECUKey_AES_GCM_128,13630,30,16,2,success
127,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
127,deriveECUKey_AES_GCM_128,13730,30,16,2,success
128,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
128,deriveECUKey_AES_GCM_128,13830,30,16,2,success
129,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
129,deriveECUKey_AES_GCM_128,13930,30,16,2,success
130,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
130,deriveECUKey_AES_GCM_128,14030,30,16,2,success
131,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
131,deriveECUKey_AES_GCM_128,14130,30,16,2,success
132,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
132,deriveECUKey_AES_GCM_128,14230,30,16,2,success
133,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
133,deriveECUKey_AES_GCM_128,14330,30,16,2,success
134,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
134,deriveECUKey_AES_GCM_128,14430,30,16,2,success
135,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
135,deriveECUKey_AES_GCM_128,14530,30,16,2,success
136,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
136,deriveECUKey_AES_GCM_128,14630,30,16,2,success
137,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
137,deriveECUKey_AES_GCM_128,14730,30,16,2,success
138,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
138,deriveECUKey_AES_GCM_128,14830,30,16,2,success
139,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
139,deriveECUKey_AES_GCM_128,14930,30,16,2,success
140,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
140,deriveECUKey_AES_GCM_128,15030,30,16,2,success
141,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
141,deriveECUKey_AES_GCM_128,15130,30,16,2,success
142,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
142,deriveECUKey_AES_GCM_128,15230,30,16,2,success
143,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
143,deriveECUKey_AES_GCM_128,15330,30,16,2,success
144,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
144,deriveECUKey_AES_GCM_128,15430,30,16,2,success
145,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
145,deriveECUKey_AES_GCM_128,15530,30,16,2,success
146,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
146,deriveECUKey_AES_GCM_128,15630,30,16,2,success
147,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
147,deriveECUKey_AES_GCM_128,15730,30,16,2,success
148,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
148,deriveECUKey_AES_GCM_128,15830,30,16,2,success
149,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
149,deriveECUKey_AES_GCM_128,15930,30,16,2,success
150,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
150,deriveECUKey_AES_GCM_128,16030,30,16,2,success
151,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
151,deriveECUKey_AES_GCM_128,16130,30,16,2,success
152,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
152,deriveECUKey_AES_GCM_128,16230,30,16,2,success
153,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
153,deriveECUKey_AES_GCM_128,16330,30,16,2,success
154,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
154,deriveECUKey_AES_GCM_128,16430,30,16,2,success
155,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
155,deriveECUKey_AES_GCM_128,16530,30,16,2,success
156,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
156,deriveECUKey_AES_GCM_128,16630,30,16,2,success
157,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
157,deriveECUKey_AES_GCM_128,16730,30,16,2,success
158,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
158,deriveECUKey_AES_GCM_128,16830,30,16,2,success
159,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
159,deriveECUKey_AES_GCM_128,16930,30,16,2,success
160,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
160,deriveECUKey_AES_GCM_128,17030,30,16,2,success
161,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
161,deriveECUKey_AES_GCM_128,17130,30,16,2,success
162,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
162,deriveECUKey_AES_GCM_128,17230,30,16,2,success
163,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
163,deriveECUKey_AES_GCM_128,17330,30,16,2,success
164,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
164,deriveECUKey_AES_GCM_128,17430,30,16,2,success
165,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
165,deriveECUKey_AES_GCM_128,17530,30,16,2,success
166,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
166,deriveECUKey_AES_GCM_128,17630,30,16,2,success
167,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
