iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
48,deriveECUKey_HMAC_SHA256,5811,11,32,2,success
49,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
49,deriveECUKey_HMAC_SHA256,5911,11,32,2,success
50,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
50,deriveECUKey_HMAC_SHA256,6011,11,32,2,success
51,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
51,deriveECUKey_HMAC_SHA256,6111,11,32,2,success
52,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
52,deriveECUKey_HMAC_SHA256,6211,11,32,2,success
53,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
53,deriveECUKey_HMAC_SHA256,6311,11,32,2,success
54,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
54,deriveECUKey_HMAC_SHA256,6411,11,32,2,success
55,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
55,deriveECUKey_HMAC_SHA256,6511,11,32,2,success
56,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
56,deriveECUKey_HMAC_SHA256,6611,11,32,2,success
57,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
57,deriveECUKey_HMAC_SHA256,6711,11,32,2,success
58,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
58,deriveECUKey_HMAC_SHA256,6811,11,32,2,success
59,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
59,deriveECUKey_HMAC_SHA256,6911,11,32,2,success
60,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
60,deriveECUKey_HMAC_SHA256,7011,11,32,2,success
61,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
61,deriveECUKey_HMAC_SHA256,7111,11,32,2,success
62,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
62,deriveECUKey_HMAC_SHA256,7211,11,32,2,success
63,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
63,deriveECUKey_HMAC_SHA256,7311,11,32,2,success
64,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
64,deriveECUKey_HMAC_SHA256,7411,11,32,2,success
65,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
65,deriveECUKey_HMAC_SHA256,7511,11,32,2,success
66,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
66,deriveECUKey_HMAC_SHA256,7611,11,32,2,success
67,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
67,deriveECUKey_HMAC_SHA256,7711,11,32,2,success
68,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
68,deriveECUKey_HMAC_SHA256,7811,11,32,2,success
69,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
69,deriveECUKey_HMAC_SHA256,7911,11,32,2,success
70,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
70,deriveECUKey_HMAC_SHA256,8011,11,32,2,success
71,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
71,deriveECUKey_HMAC_SHA256,8111,11,32,2,success
72,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
72,deriveECUKey_HMAC_SHA256,8211,11,32,2,success
73,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
73,deriveECUKey_HMAC_SHA256,8311,11,32,2,success
74,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
74,deriveECUKey_HMAC_SHA256,8411,11,32,2,success
75,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
75,deriveECUKey_HMAC_SHA256,8511,11,32,2,success
76,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
76,deriveECUKey_HMAC_SHA256,8611,11,32,2,success
77,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
77,deriveECUKey_HMAC_SHA256,8711,11,32,2,success
78,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
78,deriveECUKey_HMAC_SHA256,8811,11,32,2,success
79,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
79,deriveECUKey_HMAC_SHA256,8911,11,32,2,success
80,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
80,deriveECUKey_HMAC_SHA256,9011,11,32,2,success
81,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
81,deriveECUKey_HMAC_SHA256,9111,11,32,2,success
82,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
82,deriveECUKey_HMAC_SHA256,9211,11,32,2,success
83,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
83,deriveECUKey_HMAC_SHA256,9311,11,32,2,success
84,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
84,deriveECUKey_HMAC_SHA256,9411,11,32,2,success
85,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
85,deriveECUKey_HMAC_SHA256,9511,11,32,2,success
86,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
86,deriveECUKey_HMAC_SHA256,9611,11,32,2,success
87,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
87,deriveECUKey_HMAC_SHA256,9711,11,32,2,success
